,dc,atype,bidf,instl,isp,nt,mfr,period
68,1,8,0.0,0,1,1,Huawei,Morning
69,1,8,0.0,0,3,0,OPPO,Morning
70,1,8,0.0,0,1,1,Xiaomi,Afternoon
71,1,8,0.0,0,3,1,Coolpad,Afternoon
72,1,8,0.0,0,1,0,Xiaomi,Afternoon
73,1,8,0.0,0,0,1,Xiaomi,Evening
74,1,8,0.0,0,1,1,Huawei,Afternoon
75,1,8,0.0,0,3,1,Coolpad,Morning
76,1,8,0.0,0,1,1,Others,Afternoon
77,1,8,0.0,0,2,1,Samsung,Evening
78,1,8,0.0,0,2,1,vivo,Morning
79,1,8,0.0,0,3,1,Others,Afternoon
80,1,8,0.0,0,1,1,OPPO,Evening
81,1,8,0.0,0,1,1,OPPO,Afternoon
82,1,8,0.0,0,2,1,vivo,Afternoon
83,1,13,0.002,0,1,0,Apple,Afternoon
84,1,8,0.0,0,3,1,Others,Morning
85,1,8,0.0,0,1,1,Others,Afternoon
86,1,13,0.0007,0,1,1,Others,Morning
87,1,3,0.000498099,0,0,1,OPPO,Afternoon
88,1,8,0.0,0,0,1,Gionee,Afternoon
89,1,8,0.0,0,1,1,Xiaomi,Evening
90,1,8,0.0,0,1,1,OPPO,Evening
91,1,8,0.0,0,1,1,Xiaomi,Morning
92,1,8,0.0,0,3,1,Meizu,Evening
93,1,8,0.0,0,1,1,Huawei,Morning
94,1,8,0.0,0,1,1,Others,Afternoon
95,1,8,0.0,1,1,1,Xiaomi,Afternoon
96,1,8,0.0,0,1,1,OPPO,Afternoon
97,1,8,0.0,0,1,1,vivo,Afternoon
98,1,8,0.0,0,1,1,Others,Morning
99,1,8,0.0,0,3,0,Huawei,Evening
100,1,8,0.0,0,0,0,Samsung,Afternoon
101,1,8,0.0,0,1,1,Others,Morning
102,1,8,0.0,1,1,0,Others,Morning
103,1,8,0.0,0,1,1,vivo,Evening
104,1,8,0.0,0,3,1,Samsung,Evening
105,1,8,0.0,0,1,1,Others,Morning
106,1,3,0.000498099,0,0,1,Apple,Afternoon
107,1,8,0.0,0,1,1,vivo,Evening
108,1,8,0.0,0,1,0,Xiaomi,Evening
109,1,8,0.0,0,1,1,vivo,Evening
110,1,8,0.0,1,1,1,Others,Afternoon
111,1,8,0.0,0,1,1,Others,Afternoon
112,1,8,0.0,0,1,1,OPPO,Morning
113,1,13,0.0007,0,1,1,OPPO,Afternoon
114,1,8,0.0,0,2,0,Xiaomi,Morning
115,1,7,0.0010400000000000001,0,2,1,Others,Morning
116,1,3,0.00142314,0,0,1,Apple,Afternoon
117,1,8,0.0,0,1,1,Coolpad,Morning
118,1,13,0.002,0,1,0,Apple,Morning
119,1,8,0.0,0,1,1,Huawei,Morning
120,1,8,0.0,0,0,1,Others,Morning
121,1,8,0.0,0,1,1,Xiaomi,Afternoon
122,1,3,0.000498099,0,0,1,Apple,Afternoon
123,1,8,0.0,0,1,0,Others,Morning
124,1,8,0.0,0,1,1,Xiaomi,Morning
125,1,8,0.0,0,1,1,OPPO,Evening
126,1,8,0.0,0,1,1,vivo,Evening
127,1,8,0.0,0,0,1,Xiaomi,Afternoon
128,1,8,0.0,0,1,1,Xiaomi,Morning
129,1,8,0.0,0,2,1,Samsung,Evening
130,1,8,0.0,0,1,1,Huawei,Evening
131,1,8,0.0,0,2,0,OPPO,Afternoon
132,1,8,0.0,0,1,0,Huawei,Morning
133,1,8,0.0,0,0,1,Others,Afternoon
134,1,8,0.0,0,1,1,Xiaomi,Morning
135,1,8,0.0,0,1,1,Others,Morning
136,1,8,0.0,1,2,1,vivo,Evening
137,1,8,0.0,0,1,0,vivo,Morning
138,1,8,0.0,0,1,1,Huawei,Evening
139,1,7,0.0008,0,3,1,Gionee,Morning
140,1,8,0.0,0,2,1,Xiaomi,Morning
141,1,8,0.0,0,3,0,Huawei,Evening
142,1,8,0.0,0,3,1,Xiaomi,Evening
143,1,8,0.0,0,1,1,Xiaomi,Evening
144,1,8,0.0,0,2,1,Huawei,Afternoon
145,1,8,0.0,1,1,1,Coolpad,Evening
146,1,8,0.0,0,1,1,Xiaomi,Evening
147,1,8,0.0,0,1,1,Xiaomi,Morning
148,1,8,0.0,0,1,1,vivo,Afternoon
149,1,8,0.0,0,2,1,Xiaomi,Morning
150,1,3,0.000498099,1,0,1,Huawei,Afternoon
151,1,8,0.0,0,0,1,Others,Evening
152,1,8,0.0,0,1,0,OPPO,Evening
153,1,8,0.0,0,1,1,Others,Evening
154,1,8,0.0,1,0,1,Others,Evening
155,1,13,0.0007,0,1,1,Huawei,Afternoon
156,1,8,0.0,0,0,1,Huawei,Evening
157,1,8,0.0,0,1,1,Meizu,Afternoon
158,1,8,0.0,0,3,1,OPPO,Afternoon
159,1,8,0.0,0,0,1,Others,Afternoon
160,1,8,0.0,0,0,1,Huawei,Evening
161,1,8,0.0,0,1,0,Meizu,Evening
162,1,8,0.0,0,1,1,Samsung,Evening
163,1,7,0.0006,0,1,5,vivo,Evening
164,1,8,0.0,0,1,0,Huawei,Afternoon
165,1,8,0.0,1,3,0,Others,Afternoon
166,1,13,0.002,0,1,0,Apple,Evening
167,1,8,0.0,0,1,1,Coolpad,Evening
168,1,8,0.0,0,1,1,OPPO,Evening
169,1,8,0.0,0,1,1,OPPO,Afternoon
170,1,8,0.0,0,1,1,Samsung,Morning
171,1,8,0.0,0,1,1,Samsung,Afternoon
172,1,7,0.0006,0,1,5,vivo,Morning
173,1,8,0.0,0,1,1,Meizu,Afternoon
174,1,8,0.0,0,1,1,Others,Evening
175,1,8,0.0,0,1,1,Samsung,Afternoon
176,1,8,0.0,0,1,1,vivo,Evening
177,1,8,0.0,0,0,1,Huawei,Afternoon
178,1,8,0.0,1,1,1,vivo,Evening
179,1,8,0.0,0,1,1,Others,Evening
180,1,8,0.0,0,1,1,Xiaomi,Evening
181,1,8,0.0,1,2,0,Others,Afternoon
182,1,8,0.0,0,3,0,Samsung,Morning
183,1,8,0.0,0,3,1,Meizu,Afternoon
184,1,13,0.002,0,1,0,Apple,Morning
185,1,8,0.0,0,1,1,Xiaomi,Evening
186,1,8,0.0,0,1,0,Xiaomi,Afternoon
187,1,13,0.002,0,1,0,Apple,Afternoon
188,1,8,0.0,0,1,1,vivo,Evening
189,1,8,0.0,1,1,0,Others,Afternoon
190,1,8,0.0,0,1,1,Others,Morning
191,1,8,0.0,0,1,1,OPPO,Afternoon
192,1,8,0.0,0,1,0,Xiaomi,Evening
193,1,8,0.0,0,1,1,vivo,Afternoon
194,1,8,0.0,0,1,1,Xiaomi,Afternoon
195,1,8,0.0,0,1,1,Xiaomi,Evening
196,1,8,0.0,0,0,1,Others,Evening
197,1,8,0.0,0,1,1,Others,Morning
198,1,8,0.0,0,1,0,Meizu,Afternoon
199,1,8,0.0,0,0,0,Huawei,Morning
200,1,8,0.0,1,1,0,Others,Evening
201,1,3,0.00142314,0,0,1,Apple,Morning
202,1,8,0.0,1,1,1,Others,Evening
203,1,3,0.000498099,0,0,1,Others,Evening
204,1,8,0.0,0,0,1,Others,Evening
205,1,8,0.0,0,1,0,Others,Afternoon
206,1,8,0.0,0,1,1,Huawei,Afternoon
207,1,8,0.0,0,3,1,Huawei,Evening
208,1,3,0.00142314,0,0,1,Apple,Evening
209,1,8,0.0,0,1,1,Xiaomi,Afternoon
210,1,8,0.0,0,1,1,OPPO,Evening
211,1,8,0.0,0,1,0,Samsung,Morning
212,1,7,0.0006,0,2,1,Others,Afternoon
213,1,8,0.0,0,1,1,Samsung,Afternoon
214,1,8,0.0,0,1,1,Samsung,Morning
215,1,8,0.0,1,1,1,OPPO,Evening
216,1,8,0.0,0,1,1,Samsung,Evening
217,1,8,0.0,0,0,1,Xiaomi,Evening
218,1,8,0.0,0,1,1,Samsung,Afternoon
219,1,8,0.0,0,1,0,Coolpad,Afternoon
220,1,8,0.0,1,1,1,Others,Afternoon
221,1,8,0.0,0,2,1,Samsung,Evening
222,1,8,0.0,0,1,1,Gionee,Morning
223,1,8,0.0,0,2,0,vivo,Afternoon
224,1,8,0.0,0,0,1,Others,Morning
225,1,8,0.0,1,1,1,OPPO,Afternoon
226,1,8,0.0,0,1,1,Gionee,Afternoon
227,1,8,0.0,0,2,0,Others,Evening
228,1,8,0.0,0,1,0,Huawei,Afternoon
229,1,3,0.000498099,1,0,1,Xiaomi,Afternoon
230,1,8,0.0,0,2,0,Coolpad,Morning
231,1,8,0.0,0,1,0,Others,Evening
232,1,8,0.0,0,3,1,Samsung,Afternoon
233,1,8,0.0,0,0,1,vivo,Morning
234,1,8,0.0,0,1,1,Others,Afternoon
235,1,8,0.0,0,1,1,Others,Evening
236,1,8,0.0,1,1,0,Others,Afternoon
237,1,8,0.0,0,1,1,Huawei,Morning
238,1,8,0.0,0,1,1,vivo,Morning
239,1,13,0.002,0,1,0,Apple,Evening
240,1,8,0.0,0,1,1,OPPO,Evening
241,1,8,0.0,0,1,1,Samsung,Evening
242,1,8,0.0,1,1,0,Others,Evening
243,1,8,0.0,0,1,0,OPPO,Evening
244,1,8,0.0,0,2,1,Huawei,Evening
245,1,8,0.0,0,1,1,OPPO,Evening
246,1,8,0.0,0,1,0,Huawei,Evening
247,1,8,0.0,0,1,1,Gionee,Evening
248,1,8,0.0,0,1,1,Others,Afternoon
249,1,8,0.0,0,1,1,Huawei,Morning
250,1,8,0.0,0,3,0,vivo,Afternoon
251,1,8,0.0,0,1,1,Others,Evening
252,1,3,0.000498099,0,0,1,Apple,Morning
253,1,8,0.0,0,1,1,Others,Morning
254,1,8,0.0,1,1,1,Xiaomi,Afternoon
255,1,8,0.0,0,1,1,Others,Morning
256,1,8,0.0,0,0,1,Others,Afternoon
257,1,8,0.0,0,2,0,Samsung,Evening
258,1,8,0.0,1,0,1,Others,Evening
259,1,8,0.0,0,3,1,Huawei,Morning
260,1,8,0.0,0,1,1,Samsung,Afternoon
261,1,8,0.0,0,1,1,Huawei,Afternoon
262,1,8,0.0,0,1,1,vivo,Morning
263,1,8,0.0,0,2,1,Samsung,Morning
264,1,8,0.0,1,1,0,Others,Morning
265,1,8,0.0,0,1,0,Meizu,Evening
266,1,8,0.0,0,1,1,Others,Evening
267,1,8,0.0,0,1,1,OPPO,Morning
268,1,8,0.0,0,1,1,Huawei,Evening
269,1,8,0.0,0,1,1,vivo,Morning
270,1,8,0.0,0,3,1,Meizu,Evening
271,1,8,0.0,0,0,1,Xiaomi,Evening
272,1,8,0.0,0,1,1,vivo,Afternoon
273,1,8,0.0,0,1,1,OPPO,Evening
274,1,8,0.0,0,1,1,vivo,Afternoon
275,1,8,0.0,0,1,1,Coolpad,Evening
276,1,8,0.0,0,2,1,Huawei,Evening
277,1,8,0.0,1,0,1,Others,Evening
278,1,8,0.0,0,1,1,Samsung,Evening
279,1,8,0.0,0,1,1,vivo,Afternoon
280,1,8,0.0,0,2,0,Xiaomi,Afternoon
281,1,8,0.0,0,2,1,OPPO,Evening
282,1,13,0.003,1,1,1,Xiaomi,Evening
283,1,3,0.000498099,0,0,1,Apple,Afternoon
284,1,8,0.0,0,2,1,Xiaomi,Morning
285,1,8,0.0,0,1,1,Others,Afternoon
286,1,8,0.0,0,3,1,Others,Evening
287,1,8,0.0,0,3,1,Huawei,Afternoon
288,1,8,0.0,0,1,0,Xiaomi,Afternoon
289,1,8,0.0,0,1,1,Others,Afternoon
290,1,8,0.0,0,1,1,vivo,Evening
291,1,8,0.0,1,0,1,Others,Evening
292,1,8,0.0,0,1,1,Samsung,Evening
293,1,8,0.0,0,2,1,Xiaomi,Morning
294,1,8,0.0,0,1,1,Xiaomi,Afternoon
295,1,8,0.0,1,0,1,Others,Morning
296,1,8,0.0,0,1,1,Xiaomi,Afternoon
297,1,7,0.0008,0,1,1,Others,Evening
298,1,8,0.0,0,1,1,Others,Evening
299,1,8,0.0,0,1,1,Xiaomi,Morning
300,1,8,0.0,0,3,1,Coolpad,Afternoon
301,1,8,0.0,0,2,1,Samsung,Evening
302,1,8,0.0,0,2,1,vivo,Afternoon
303,1,8,0.0,0,1,0,Huawei,Afternoon
304,1,8,0.0,0,1,1,Xiaomi,Morning
305,1,8,0.0,0,1,1,Samsung,Afternoon
306,1,8,0.0,0,1,1,Samsung,Afternoon
307,1,8,0.0,0,3,1,vivo,Afternoon
308,1,8,0.0,0,1,0,Others,Afternoon
309,1,8,0.0,0,1,1,vivo,Afternoon
310,1,8,0.0,0,1,1,Xiaomi,Afternoon
311,1,8,0.0,0,1,0,Others,Morning
312,1,8,0.0,1,0,1,vivo,Morning
313,1,3,0.000498099,0,0,1,Others,Morning
314,1,8,0.0,0,1,1,Xiaomi,Morning
315,1,8,0.0,0,1,1,Xiaomi,Afternoon
316,1,8,0.0,0,1,1,Xiaomi,Afternoon
317,1,8,0.0,0,0,1,Others,Evening
318,1,8,0.0,0,1,1,Huawei,Evening
319,1,8,0.0,0,2,0,Others,Morning
320,1,8,0.0,0,1,1,Others,Evening
321,1,8,0.0,0,1,1,OPPO,Evening
322,1,8,0.0,0,1,1,vivo,Evening
323,1,8,0.0,0,2,0,OPPO,Afternoon
324,1,8,0.0,0,1,0,vivo,Afternoon
325,1,8,0.0,0,1,1,vivo,Morning
326,1,8,0.0,0,1,1,vivo,Evening
327,1,8,0.0,1,1,0,Coolpad,Afternoon
328,1,8,0.0,0,1,1,Meizu,Afternoon
329,1,8,0.0,0,0,1,Samsung,Morning
330,1,8,0.0,0,1,0,vivo,Evening
331,1,8,0.0,0,1,1,vivo,Afternoon
332,1,8,0.0,0,1,0,Huawei,Morning
333,1,8,0.0,0,3,0,Huawei,Afternoon
334,1,8,0.0,0,1,1,OPPO,Morning
335,1,8,0.0,0,1,0,Others,Afternoon
336,1,8,0.0,0,2,1,Coolpad,Afternoon
337,1,8,0.0,0,0,1,Meizu,Afternoon
338,1,8,0.0,0,2,1,OPPO,Morning
339,1,8,0.0,0,2,1,Xiaomi,Morning
340,1,8,0.0,0,1,0,Xiaomi,Evening
341,1,8,0.0,0,2,1,Huawei,Afternoon
342,1,3,0.000498099,0,0,1,Apple,Evening
343,1,8,0.0,0,3,1,Samsung,Evening
344,1,8,0.0,1,1,0,Others,Morning
345,1,8,0.0,0,0,1,Samsung,Morning
346,1,8,0.0,0,2,1,Samsung,Morning
347,1,8,0.0,0,1,1,Huawei,Afternoon
348,1,8,0.0,0,1,0,Others,Morning
349,1,8,0.0,0,0,1,Huawei,Afternoon
350,1,7,0.0005,0,0,1,Coolpad,Afternoon
351,1,8,0.0,0,1,1,Xiaomi,Evening
352,1,3,0.000498099,0,0,1,Apple,Afternoon
353,1,8,0.0,1,1,0,OPPO,Evening
354,1,8,0.0,1,0,1,OPPO,Evening
355,1,8,0.0,0,0,1,Others,Morning
356,1,8,0.0,0,1,1,Meizu,Morning
357,1,13,0.0014,0,1,0,vivo,Evening
358,1,8,0.0,0,1,1,vivo,Afternoon
359,1,8,0.0,0,1,1,Samsung,Morning
360,1,8,0.0,0,2,1,Xiaomi,Morning
361,1,8,0.0,0,1,1,OPPO,Evening
362,1,8,0.0,0,1,0,Xiaomi,Afternoon
363,1,7,0.0008,0,0,5,Huawei,Afternoon
364,1,8,0.0,0,2,0,Xiaomi,Afternoon
365,1,8,0.0,0,3,1,Others,Afternoon
366,1,8,0.0,0,1,1,Others,Evening
367,1,8,0.0,0,2,1,Coolpad,Afternoon
368,1,8,0.0,0,1,1,Samsung,Morning
369,1,8,0.0,1,1,0,Others,Morning
370,1,8,0.0,1,0,1,Coolpad,Morning
371,1,8,0.0,0,0,1,Coolpad,Morning
372,1,8,0.0,0,1,1,Meizu,Afternoon
373,1,8,0.0,0,1,1,Xiaomi,Evening
374,1,8,0.0,0,0,1,Coolpad,Afternoon
375,1,8,0.0,0,3,1,OPPO,Evening
376,1,8,0.0,0,0,1,Huawei,Afternoon
377,1,8,0.0,0,2,1,Coolpad,Evening
378,1,8,0.0,0,1,1,Xiaomi,Morning
379,1,8,0.0,0,0,1,Others,Evening
380,1,8,0.0,0,1,1,Samsung,Morning
381,1,8,0.0,0,0,1,Xiaomi,Evening
382,1,8,0.0,0,1,0,Others,Afternoon
383,1,8,0.0,0,0,1,Huawei,Afternoon
384,1,8,0.0,0,1,1,Huawei,Evening
385,1,7,0.0008,0,1,1,OPPO,Morning
386,1,8,0.0,0,1,1,vivo,Afternoon
387,1,8,0.0,0,0,1,Huawei,Evening
388,1,8,0.0,0,1,1,Samsung,Morning
389,1,8,0.0,0,1,0,Others,Morning
390,1,8,0.0,0,1,1,vivo,Afternoon
391,1,8,0.0,0,1,1,Samsung,Morning
392,1,13,0.0007,0,1,1,Meizu,Morning
393,1,8,0.0,0,2,1,Samsung,Afternoon
394,1,8,0.0,0,0,1,Meizu,Evening
395,1,8,0.0,1,1,1,vivo,Morning
396,1,8,0.0,0,2,1,Xiaomi,Afternoon
397,1,8,0.0,1,2,1,Samsung,Afternoon
398,1,8,0.0,0,1,1,Gionee,Afternoon
399,1,8,0.0,0,1,1,Huawei,Evening
400,1,8,0.0,0,1,1,Xiaomi,Morning
401,1,8,0.0,0,1,1,Others,Evening
402,1,8,0.0,0,0,1,Xiaomi,Evening
403,1,8,0.0,0,1,1,OPPO,Afternoon
404,1,8,0.0,0,1,1,OPPO,Evening
405,1,8,0.0,0,1,1,Huawei,Evening
406,1,7,0.0008,0,1,1,Others,Afternoon
407,1,8,0.0,0,3,0,Huawei,Afternoon
408,1,8,0.0,0,1,1,Others,Afternoon
409,1,8,0.0,0,1,1,vivo,Morning
410,1,8,0.0,0,1,1,Others,Evening
411,1,3,0.000498099,1,0,1,Others,Morning
412,1,8,0.0,0,1,1,OPPO,Afternoon
413,1,8,0.0,0,1,1,Huawei,Afternoon
414,1,8,0.0,0,0,1,OPPO,Evening
415,1,8,0.0,0,2,1,OPPO,Afternoon
416,1,8,0.0,0,1,1,Others,Morning
417,1,8,0.0,1,1,1,Others,Afternoon
418,1,8,0.0,0,0,1,Xiaomi,Afternoon
419,1,8,0.0,0,1,1,Others,Afternoon
420,1,8,0.0,0,3,1,Samsung,Afternoon
421,1,8,0.0,0,1,0,Others,Afternoon
422,1,13,0.002,0,1,0,Apple,Afternoon
423,1,13,0.0007,0,1,1,OPPO,Morning
424,1,8,0.0,0,1,0,Samsung,Morning
425,1,8,0.0,0,1,0,Coolpad,Morning
426,1,8,0.0,0,3,1,Xiaomi,Afternoon
427,1,8,0.0,0,3,1,vivo,Evening
428,1,8,0.0,0,1,1,Huawei,Afternoon
429,1,13,0.002,0,1,0,Apple,Morning
430,1,8,0.0,0,1,1,vivo,Afternoon
431,1,8,0.0,0,1,1,OPPO,Afternoon
432,1,8,0.0,0,1,0,Others,Afternoon
433,1,8,0.0,0,3,1,Samsung,Morning
434,1,8,0.0,0,3,1,Huawei,Afternoon
435,1,8,0.0,0,1,0,Others,Morning
436,1,8,0.0,0,1,1,Samsung,Morning
437,1,8,0.0,0,1,0,OPPO,Afternoon
438,1,8,0.0,0,1,1,Coolpad,Evening
439,1,8,0.0,0,1,1,OPPO,Afternoon
440,1,7,0.0008,0,3,5,OPPO,Evening
441,1,8,0.0,1,1,1,Coolpad,Afternoon
442,1,8,0.0,0,2,1,Huawei,Morning
443,1,8,0.0,0,1,0,Others,Afternoon
444,1,8,0.0,0,1,0,OPPO,Afternoon
445,1,8,0.0,0,1,1,Meizu,Afternoon
446,1,8,0.0,1,1,1,OPPO,Evening
447,1,8,0.0,0,1,0,Samsung,Evening
448,1,8,0.0,1,1,1,Xiaomi,Evening
449,1,8,0.0,0,1,0,Others,Morning
450,1,3,0.000498099,1,0,1,Samsung,Afternoon
451,1,8,0.0,0,1,1,OPPO,Morning
452,1,13,0.002,0,1,0,Apple,Afternoon
453,1,8,0.0,0,1,1,Huawei,Afternoon
454,1,8,0.0,0,1,0,Xiaomi,Evening
455,1,8,0.0,0,1,1,OPPO,Evening
456,1,8,0.0,0,1,1,Samsung,Afternoon
457,1,3,0.00142314,0,0,1,Apple,Morning
458,1,8,0.0,1,2,1,vivo,Evening
459,1,8,0.0,0,1,1,Others,Afternoon
460,1,8,0.0,0,1,1,Xiaomi,Evening
461,1,8,0.0,0,1,1,OPPO,Morning
462,1,8,0.0,0,2,0,Others,Evening
463,1,8,0.0,0,1,0,vivo,Afternoon
464,1,8,0.0,0,1,1,Others,Morning
465,1,8,0.0,0,0,0,Xiaomi,Evening
466,1,8,0.0,0,1,1,Others,Afternoon
467,1,8,0.0,0,3,1,Samsung,Morning
468,1,8,0.0,0,0,1,Others,Morning
469,1,8,0.0,0,1,1,Others,Morning
470,1,13,0.002,0,1,0,Apple,Afternoon
471,1,13,0.0007,0,2,1,Meizu,Afternoon
472,1,8,0.0,0,3,1,vivo,Evening
473,1,7,0.0008,0,1,1,Xiaomi,Afternoon
474,1,8,0.0,0,1,1,Samsung,Afternoon
475,1,7,0.00078,0,1,5,Others,Evening
476,1,8,0.0,0,1,1,Huawei,Afternoon
477,1,13,0.002,0,1,0,Apple,Morning
478,1,13,0.002,0,1,0,Apple,Evening
479,1,3,0.001067355,0,0,1,Meizu,Evening
480,1,8,0.0,0,2,1,Others,Morning
481,1,8,0.0,0,1,0,Meizu,Afternoon
482,1,8,0.0,0,3,1,Others,Evening
483,1,8,0.0,0,2,0,Xiaomi,Afternoon
484,1,8,0.0,0,1,1,Samsung,Evening
485,1,8,0.0,0,3,1,Xiaomi,Morning
486,1,8,0.0,0,2,1,vivo,Morning
487,1,8,0.0,0,1,1,Xiaomi,Morning
488,1,8,0.0,0,1,1,Meizu,Evening
489,1,8,0.0,0,1,1,vivo,Morning
490,1,3,0.000498099,1,0,1,Apple,Morning
491,1,8,0.0,0,3,1,Others,Evening
492,1,8,0.0,0,1,0,Xiaomi,Morning
493,1,8,0.0,0,3,1,Meizu,Morning
494,1,8,0.0,0,1,0,Xiaomi,Evening
495,1,8,0.0,1,2,1,OPPO,Afternoon
496,1,8,0.0,0,1,1,vivo,Afternoon
497,1,8,0.0,0,1,1,vivo,Afternoon
498,1,8,0.0,0,0,1,Samsung,Evening
499,1,8,0.0,0,0,1,Coolpad,Evening
500,1,8,0.0,0,1,1,OPPO,Afternoon
501,1,8,0.0,1,3,1,vivo,Evening
502,1,8,0.0,0,1,1,OPPO,Afternoon
503,1,8,0.0,0,1,1,Meizu,Evening
504,1,8,0.0,0,1,0,Others,Evening
505,1,8,0.0,0,2,1,Samsung,Evening
506,1,8,0.0,0,1,1,Xiaomi,Afternoon
507,1,8,0.0,0,3,1,vivo,Evening
508,1,8,0.0,0,3,1,Samsung,Afternoon
509,1,8,0.0,0,1,1,Huawei,Morning
510,1,3,0.000498099,0,1,1,Others,Afternoon
511,1,8,0.0,0,1,1,vivo,Afternoon
512,1,8,0.0,1,0,1,vivo,Evening
513,1,8,0.0,0,1,1,vivo,Morning
514,1,13,0.002,0,1,0,Apple,Afternoon
515,1,8,0.0,1,3,1,Huawei,Evening
516,1,8,0.0,0,3,0,Samsung,Morning
517,1,8,0.0,0,1,1,Huawei,Evening
518,1,8,0.0,1,0,1,Others,Evening
519,1,13,0.002,0,2,0,Samsung,Evening
520,1,8,0.0,0,1,1,Samsung,Morning
521,1,8,0.0,0,1,0,Others,Afternoon
522,1,8,0.0,0,1,1,OPPO,Afternoon
523,1,8,0.0,0,2,1,OPPO,Morning
524,1,8,0.0,0,1,1,Xiaomi,Morning
525,1,8,0.0,1,1,0,Others,Morning
526,1,7,0.0006,0,1,5,Others,Evening
527,1,8,0.0,0,0,1,vivo,Evening
528,1,8,0.0,1,1,1,Others,Afternoon
529,1,8,0.0,0,1,0,Others,Afternoon
530,1,8,0.0,0,1,1,Xiaomi,Afternoon
531,1,8,0.0,0,1,1,Huawei,Afternoon
532,1,8,0.0,0,1,1,Samsung,Afternoon
533,1,3,0.000498099,0,0,1,Apple,Afternoon
534,1,3,0.000498099,1,0,1,Xiaomi,Afternoon
535,1,8,0.0,0,1,1,OPPO,Morning
536,1,7,0.0004,0,3,1,Xiaomi,Evening
537,1,8,0.0,0,1,1,Xiaomi,Evening
538,1,8,0.0,0,1,1,OPPO,Afternoon
539,1,8,0.0,0,1,1,Huawei,Morning
540,1,3,0.000498099,0,0,1,Apple,Evening
541,1,8,0.0,0,1,1,vivo,Evening
542,1,8,0.0,0,0,1,Xiaomi,Evening
